City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
4,Road Town,VG,75.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
11,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,People ThankYou
12,Inhambane,MZ,78.15,overcast clouds,-23.865,35.3833,Oceano
18,Lorengau,PG,85.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
24,Calabar,NG,76.57,scattered clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
27,Amuntai,ID,83.34,overcast clouds,-2.4177,115.2494,Hotel Balqis
33,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
35,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
37,Carutapera,BR,75.69,overcast clouds,-1.195,-46.02,Lidera
38,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
43,Busselton,AU,85.95,few clouds,-33.65,115.3333,Observatory Guest House
45,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
46,Kapaa,US,79.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
50,Hilo,US,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Acapulco,MX,75.07,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
64,Bambanglipuro,ID,83.95,overcast clouds,-7.95,110.2833,Puri Brata
65,Kavaratti,IN,77.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
74,Gorontalo,ID,89.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
78,Arraial Do Cabo,BR,75.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
80,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
87,Ambilobe,MG,75.42,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
92,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
100,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
105,Kendari,ID,83.62,overcast clouds,-3.945,122.4989,Hotel Wixel
107,Katherine,AU,77.32,light rain,-14.4667,132.2667,Pine Tree Motel
112,Luwuk,ID,86.25,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
115,Faanui,PF,80.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Vao,NC,80.28,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
121,Kantunilkin,MX,76.95,broken clouds,21.0917,-87.45,Posada Paraiso
122,Vanimo,PG,85.6,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
127,Auki,SB,84.4,overcast clouds,-8.7676,160.7034,Auki Motel
129,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Mtwara,TZ,75.92,moderate rain,-10.2667,40.1833,TIL Hotels Mtwara
135,Wewak,PG,86.41,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
145,Balsas,BR,76.62,overcast clouds,-7.5325,-46.0356,Novo Hotel
158,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
161,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
163,Sola,VU,82.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
165,Saint-Georges,GD,76.82,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
171,Mitsamiouli,KM,81.82,light rain,-11.3847,43.2844,Foyer ADM
175,Mayumba,GA,75.74,overcast clouds,-3.432,10.6554,LIKWALE LODGE
179,Atambua,ID,80.89,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
181,Innisfail,AU,86.22,light rain,-17.5333,146.0333,Moondarra Motel
189,Isangel,VU,75.87,light rain,-19.55,169.2667,Tanna Lodge
193,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
195,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
196,Kupang,ID,83.26,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
202,Cayenne,GF,79.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
206,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
210,Launceston,AU,75.61,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
211,Banyuwangi,ID,79.12,overcast clouds,-8.2325,114.3576,Dannu's Homestay
213,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
217,Cepu,ID,82.58,scattered clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
234,Kerema,PG,86.79,overcast clouds,-7.9631,145.7785,Frena Lodge
235,Itarema,BR,79.05,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Meulaboh,ID,77.88,overcast clouds,4.1363,96.1285,Kost Pria
244,Gizo,SB,85.87,overcast clouds,-8.103,156.8419,Imagination Island
250,Limpapa,PH,80.65,overcast clouds,7.1197,121.9106,The Ranch ZC
254,Limaong,PH,82.36,overcast clouds,7.3606,122.3664,Malanta Beach
273,Axim,GH,78.22,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
274,Esperance,AU,79.93,clear sky,-33.8667,121.9,Hospitality Esperance
284,Flinders,AU,75.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
285,Toamasina,MG,79.27,overcast clouds,-18.1667,49.3833,Hotel H1
297,Soyo,AO,76.89,broken clouds,-6.1349,12.3689,Hotel Mpampa
