City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,66,0,12.66,clear sky
1,Butaritari,KI,3.0707,172.7902,82.62,77,47,18.12,scattered clouds
2,Hasaki,JP,35.7333,140.8333,45.28,38,6,18.07,clear sky
3,Paamiut,GL,61.994,-49.6678,6.37,90,100,7.49,light snow
4,Road Town,VG,18.4167,-64.6167,75.24,78,20,11.5,few clouds
5,Dubrovytsya,UA,51.5744,26.565,32.41,98,100,10.4,overcast clouds
6,Kolosovka,RU,56.4678,73.611,18.3,81,100,9.31,overcast clouds
7,Fallon,US,39.4735,-118.7774,42.28,39,48,1.72,scattered clouds
8,Hermanus,ZA,-34.4187,19.2345,63.81,70,1,18.03,clear sky
9,Proletariy,RU,58.4342,31.7046,10.11,93,67,10.04,broken clouds
10,Torbay,CA,47.6666,-52.7314,33.76,97,100,10.36,fog
11,Rikitea,PF,-23.1203,-134.9692,79.05,68,4,7.18,clear sky
12,Inhambane,MZ,-23.865,35.3833,78.15,72,98,9.6,overcast clouds
13,Vilhena,BR,-12.7406,-60.1458,69.12,96,100,2.93,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,2.3,clear sky
15,Qaanaaq,GL,77.484,-69.3632,1.17,70,100,6.51,overcast clouds
16,Leningradskiy,RU,69.3833,178.4167,-16.17,93,62,8.12,broken clouds
17,Jamestown,US,42.097,-79.2353,18.72,56,100,1.01,overcast clouds
18,Lorengau,PG,-2.0226,147.2712,85.05,63,96,8.52,overcast clouds
19,Gerash,IR,27.6652,54.1371,46.54,44,0,1.79,clear sky
20,Nanortalik,GL,60.1432,-45.2371,11.89,65,94,39.62,overcast clouds
21,Vila,PT,42.0304,-8.1588,39.7,85,89,4.5,overcast clouds
22,Ixtapa,MX,20.7,-105.2,65.84,86,8,1.68,clear sky
23,Port Alfred,ZA,-33.5906,26.891,68.86,81,94,8.63,light rain
24,Calabar,NG,4.9517,8.322,76.57,89,27,2.48,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,58.48,37,10,3.56,clear sky
26,Aklavik,CA,68.2191,-135.0107,-21.28,91,6,17.49,clear sky
27,Amuntai,ID,-2.4177,115.2494,83.34,76,100,0.18,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,-27.58,80,75,6.91,broken clouds
29,Cherskiy,RU,68.75,161.3,-29.61,96,10,4.25,clear sky
30,Urengoy,RU,65.9667,78.3667,11.97,96,100,8.16,light snow
31,Katsuura,JP,35.1333,140.3,47.19,42,96,12.48,overcast clouds
32,Tasiilaq,GL,65.6145,-37.6368,20.97,69,100,42.73,overcast clouds
33,Kavieng,PG,-2.5744,150.7967,83.88,69,100,5.82,overcast clouds
34,Constantine,DZ,36.365,6.6147,42.21,56,0,0.0,clear sky
35,Atuona,PF,-9.8,-139.0333,78.37,77,25,15.9,scattered clouds
36,Hobart,AU,-42.8794,147.3294,67.26,72,75,10.36,broken clouds
37,Carutapera,BR,-1.195,-46.02,75.69,94,100,5.53,overcast clouds
38,Vaini,TO,-21.2,-175.2,78.96,94,100,17.27,overcast clouds
39,Zhangjiakou,CN,40.81,114.8794,10.99,50,1,5.48,light snow
40,Erzin,TR,36.9559,36.2,39.72,71,0,2.51,clear sky
41,Cabo San Lucas,MX,22.8909,-109.9124,67.3,69,0,3.85,clear sky
42,Cidreira,BR,-30.1811,-50.2056,73.0,91,17,4.16,few clouds
43,Busselton,AU,-33.65,115.3333,85.95,30,14,6.62,few clouds
44,Castro,BR,-24.7911,-50.0119,64.72,98,64,3.78,broken clouds
45,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,14.97,moderate rain
46,Kapaa,US,22.0752,-159.319,79.48,80,30,1.99,light rain
47,New Norfolk,AU,-42.7826,147.0587,66.9,51,97,1.99,overcast clouds
48,Avarua,CK,-21.2078,-159.775,82.45,78,75,11.5,broken clouds
49,Cuite,BR,-6.4836,-36.1536,69.85,79,5,12.33,clear sky
50,Hilo,US,19.7297,-155.09,77.25,94,27,9.33,scattered clouds
51,Acapulco,MX,16.8634,-99.8901,75.07,75,0,1.74,clear sky
52,Aguimes,ES,27.9054,-15.4461,63.66,34,0,4.61,clear sky
53,Constitucion,CL,-35.3333,-72.4167,58.6,88,2,12.21,clear sky
54,Aksu,CN,41.1231,80.2644,25.59,74,99,5.01,overcast clouds
55,Zyryanka,RU,65.75,150.85,-30.15,98,100,1.48,overcast clouds
56,Barrow,US,71.2906,-156.7887,-18.35,99,100,7.4,overcast clouds
57,Melilla,ES,35.2937,-2.9383,62.98,42,0,10.36,clear sky
58,Albany,US,42.6001,-73.9662,18.48,84,100,1.01,overcast clouds
59,Airai,TL,-8.9266,125.4092,71.62,69,100,2.1,overcast clouds
60,Nikolskoye,RU,59.7035,30.7861,18.39,88,99,11.95,overcast clouds
61,Simao,CN,22.7886,100.9748,60.15,63,0,3.15,clear sky
62,Safranbolu,TR,41.2508,32.6942,15.01,93,69,2.15,broken clouds
63,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,5.75,broken clouds
64,Bambanglipuro,ID,-7.95,110.2833,83.95,69,86,7.29,overcast clouds
65,Kavaratti,IN,10.5669,72.642,77.61,59,88,4.27,overcast clouds
66,Upernavik,GL,72.7868,-56.1549,2.25,97,100,10.54,overcast clouds
67,Jati,PK,24.3539,68.2671,61.05,57,0,4.9,clear sky
68,Micheweni,TZ,-4.9667,39.8333,79.0,83,98,4.07,overcast clouds
69,Ouesso,CG,1.6136,16.0517,68.2,51,80,1.77,broken clouds
70,Umm Lajj,SA,25.0213,37.2685,60.28,49,1,7.27,clear sky
71,Abu Samrah,SY,35.3029,37.1841,42.49,92,5,7.11,clear sky
