City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed
0,Punta Arenas,CL,2022-02-04 01:30:50,-53.15,-70.9167,46.51,57,75,10.36
1,Westport,US,2022-02-04 01:31:06,41.1415,-73.3579,48.16,96,100,3.0
2,Bainbridge,US,2022-02-04 01:34:37,47.6262,-122.5212,49.28,87,100,1.99
3,Terrace Bay,CA,2022-02-04 01:34:37,48.7834,-87.1,-11.58,90,21,5.5
4,Vaini,TO,2022-02-04 01:32:26,-21.2,-175.2,86.16,79,75,11.5
5,Cape Town,ZA,2022-02-04 01:33:13,-33.9258,18.4232,62.28,64,20,3.0
6,Jiwani,PK,2022-02-04 01:34:38,25.05,61.7417,69.13,45,0,7.31
7,Aswan,EG,2022-02-04 01:34:38,24.0934,32.907,53.13,35,0,8.66
8,Berbera,SO,2022-02-04 01:34:39,10.4396,45.0143,72.52,68,0,3.15
9,Ushuaia,AR,2022-02-04 01:30:15,-54.8,-68.3,44.26,65,75,20.71
10,Rikitea,PF,2022-02-04 01:32:29,-23.1203,-134.9692,77.97,74,100,18.88
11,Saskylakh,RU,2022-02-04 01:34:39,71.9167,114.0833,-16.13,97,100,1.7
12,Kupino,RU,2022-02-04 01:34:39,54.3663,77.2981,4.39,91,28,10.07
13,Castro,BR,2022-02-04 01:34:40,-24.7911,-50.0119,65.12,98,100,5.37
14,Mataura,NZ,2022-02-04 01:33:41,-46.1927,168.8643,49.3,99,100,3.11
15,Norman Wells,CA,2022-02-04 01:34:40,65.282,-126.8329,-34.56,67,20,3.44
16,Hobart,AU,2022-02-04 01:33:28,-42.8794,147.3294,70.02,49,9,1.99
17,Qaanaaq,GL,2022-02-04 01:34:41,77.484,-69.3632,-14.31,56,98,8.25
18,Mecca,SA,2022-02-04 01:34:41,21.4267,39.8261,71.01,86,45,3.58
19,Barrow,US,2022-02-04 01:34:42,71.2906,-156.7887,-23.78,76,100,3.44
20,Ilulissat,GL,2022-02-04 01:34:42,69.2167,-51.1,19.42,49,100,16.11
21,Port Alfred,ZA,2022-02-04 01:32:21,-33.5906,26.891,69.71,74,96,16.46
22,Bafoulabe,ML,2022-02-04 01:34:42,13.8065,-10.8321,73.96,10,2,5.61
23,Senneterre,CA,2022-02-04 01:34:43,48.3835,-77.2328,-9.18,97,70,2.95
24,Yellowknife,CA,2022-02-04 01:34:43,62.456,-114.3525,-26.45,68,0,5.75
25,Bredasdorp,ZA,2022-02-04 01:32:14,-34.5322,20.0403,61.92,67,100,4.61
26,Saldanha,ZA,2022-02-04 01:34:44,-33.0117,17.9442,57.25,81,0,18.86
27,Zhigansk,RU,2022-02-04 01:34:44,66.7697,123.3711,-30.15,98,93,2.8
28,Dikson,RU,2022-02-04 01:34:44,73.5069,80.5464,-6.9,94,100,5.99
29,Trinidad,BO,2022-02-04 01:34:45,-14.8333,-64.9,74.79,92,82,4.88
30,Chuy,UY,2022-02-04 01:34:45,-33.6971,-53.4616,73.02,95,100,5.79
31,Port Lincoln,AU,2022-02-04 01:34:46,-34.7333,135.8667,67.06,60,44,15.73
32,Hithadhoo,MV,2022-02-04 01:34:46,-0.6,73.0833,81.61,73,100,10.25
33,Albany,US,2022-02-04 01:29:46,42.6001,-73.9662,39.31,91,100,4.0
34,Laukaa,RU,2022-02-04 01:34:46,58.7372,29.8453,0.23,100,100,1.61
35,Maniitsoq,GL,2022-02-04 01:34:47,65.4167,-52.9,12.2,82,100,21.32
36,Songea,TZ,2022-02-04 01:34:47,-10.6833,35.65,63.45,98,100,2.89
37,Mayo,US,2022-02-04 01:31:53,38.8876,-76.5119,59.11,96,100,7.0
38,Cidreira,BR,2022-02-04 01:34:48,-30.1811,-50.2056,75.87,88,80,23.58
39,Bonthe,SL,2022-02-04 01:34:48,7.5264,-12.505,75.97,88,2,2.98
40,Jamestown,US,2022-02-04 01:33:41,42.097,-79.2353,24.08,69,100,5.99
41,Makakilo City,US,2022-02-04 01:34:48,21.3469,-158.0858,80.92,45,0,14.97
42,Mragowo,PL,2022-02-04 01:34:49,53.8644,21.3051,32.0,98,100,9.17
43,Smolenka,RU,2022-02-04 01:34:49,52.1352,113.4974,-25.53,75,43,0.0
44,College,US,2022-02-04 01:34:49,64.8569,-147.8028,1.72,54,75,4.61
45,Havre,FR,2022-02-04 01:35:50,49.5833,0.3333,46.44,87,100,10.36
46,Marystown,CA,2022-02-04 01:35:50,47.1666,-55.1483,38.86,100,100,5.99
47,Lorengau,PG,2022-02-04 01:35:50,-2.0226,147.2712,84.72,64,100,9.08
48,Bismil,TR,2022-02-04 01:35:51,37.8486,40.6658,44.33,93,100,7.0
49,Saint-Philippe,RE,2022-02-04 01:34:56,-21.3585,55.7679,78.35,93,100,33.08
50,Cabo San Lucas,MX,2022-02-04 01:35:33,22.8909,-109.9124,70.11,57,20,10.36
51,Iracoubo,GF,2022-02-04 01:35:51,5.4802,-53.2011,76.3,89,100,9.62
52,Jining,CN,2022-02-04 01:35:52,35.405,116.5814,39.99,1,37,7.63
53,Busselton,AU,2022-02-04 01:35:52,-33.65,115.3333,82.53,35,67,15.57
54,Victor Harbor,AU,2022-02-04 01:32:25,-35.5667,138.6167,72.81,58,0,1.01
55,Severo-Kurilsk,RU,2022-02-04 01:33:08,50.6789,156.125,31.33,88,100,10.8
56,Fairbanks,US,2022-02-04 01:34:42,64.8378,-147.7164,1.74,54,100,9.22
57,Camacha,PT,2022-02-04 01:35:53,33.0833,-16.3333,62.53,94,20,8.05
